Name,Age,Rating,Image,Text,Description
Martin,41,5,Martin.jpeg,"Durch das ständige Sitzen im Homeoffice und weniger Bewegung als im normalen Büroalltag hatte ich vor allem im Lendenwirbelbereich schmerzen. Durch das Training mit Oli bin ich schmerzfrei. Die Übungen sind ein guter Ausgleich zum Arbeiten von zu Hause und passen perfekt in meine Mittagspause. Auch vor dem Tennisspielen mache ich mich mit diversen Übungen, die ich bei Oli gelernt habe, warm. Dadurch fühle ich mich beim Spielen agiler und verletzungsunanfälliger. Ich kann das Training und vor allem Oli mit seiner freundlichen und immer positiven Art wärmstens empfehlen. Mach weiter so!",seit Anfang Oktober dabei mit 39 Trainingseinheiten (Stand: 05.01.2021)
Johanna und Olli ,29/34,5,Johanna-und-Olli.jpeg,"Gemeinsame Trainingsmöglichkeit gesucht - und gefunden!"" Mit Beginn der Corona-Zeiten hat es uns nach langen Bürotagen oft auf die Couch gezogen (... und leider auch dort gehalten). Das fanden unsere Rücken nicht so super wie wir. Mit Olivers Training haben wir eine sportliche Ergänzung gefunden, die sich perfekt in unseren Alltag integrieren lässt. Auch wenn wir unterschiedliche ""Schmerzpunkte"" haben - durch die persönliche Betreuung geht Oliver auf unsere individuellen Bedürfnisse ein. Die unterschiedlichen Trainingszeiten und die alternativen Aufzeichnungen bringen volle Flexibilität, so dass keiner von uns beiden mehr Ausreden finden kann. Und Motivationsprobleme sind dank Olivers fröhlicher Art sowieso passé. Wir freuen uns auf viele weitere tolle Trainingseinheiten!",
Theresa ,34,5,,"Ich bin nun seit fast einem Jahr im Homeoffice und das fordert seinen Tribut. Seit Mai 2020 habe ich starke Schulterschmerzen in der ""Maus""schulter, insbesondere nach langen Arbeitstagen in einer ergonomisch furchtbaren Haltung am Laptop und Küchentisch. Inzwischen wurde dieses Inpingement mehrfach gespritzt, was immer ein paar wenige Wochen half. Außerdem habe ich bereits wochenlang Physiotherapie gemacht, was zwar auch gegen die Entzündung half, aber langfristig keine Besserung brachte. Nun mache ich seit ein paar Wochen regelmäßig das Training bei Oli und es hilft tatsächlich merklich. Zum einen habe ich weniger Schmerzen: früher lag ich oft nachts wach, weil die Schulter weh tat. Das ist in den letzten Wochen gar nicht mehr vorgekommen. Außerdem kann ich ganze Tage durcharbeiten ohne Schmerzen. Zum anderen ist mein Bewegungsradius merklich größer geworden: ich kann meine Arme wieder heben und rotieren. Das wäre bis vor wenigen Wochen nicht möglich gewesen. Inzwischen spiele ich sogar mit dem Gedanken einen Surfurlaub zu buchen -- und das wäre noch vor wenigen Wochen wirklich undenkbar gewesen. Das Training ist wegen der Länge oder besser Kürze super geeignet für mich. 20 Minuten bringt man immer unter und da es jeden Tag zwei  Termine gibt, hat man die volle Flexibilität. Oli schafft es außerdem immer super gute Laune zu verbreiten. Das Programm ist also eine volle Empfehlung und ich bin Oli sehr dankbar, dass es mir nun endlich besser geht .",
Katharina,42,5,Katharina.jpeg,"Ich habe das Rückentraining bei Oli mit starken Schulterschmerzen gestartet. Home Office und bis zu 10 Stunden am Laptop täglich tun dem Rücken einfach nicht gut...Ich war auch bereits seit über einem Jahr in regelmäßiger Physio/Massage Betreuung, aber erst durch das regelmäßige/tägliche 20 minütige Training mit Oli ist eine Verbesserung in meiner Schulter eingetreten. Von nichts kommt nichts, das war mir schon vorher klar, aber irgendwie habe ich es nicht geschafft mich alleine zu motivieren. Klar könnte ich auch Übungen alleine machen, aber am Ende mache ich es nicht.... Durch die täglich festen Termine der Trainings mit Oli habe ich es in meinen Arbeitsalltag eingebaut und nehme mir die 20 Minuten täglich in meiner Mittagsause, und es hilft mir wirklich! Die Beweglichkeit meiner Schulter hat sich extrem verbessert und die Schmerzen sind auch weg. Durch seine nette Art und auch die anderen Mit-Trainierenden, sowie den festen Termin für das ""virtuelle Live"" Training bin ich einfach motiviert etwas für meine Gesundheit zu machen und Oli gestaltet das Training immer abwechslungsreich, es macht einfach Spaß und ist effektiv ohne super anstrengend zu sein - ich kann danach ganz normal weiterarbeiten. Ich kann das Training und Oli als Trainer nur sehr gerne weiterempfehlen!",
Ines,38,5,Ines.JPG,"20 Minuten Rückentraining online in der Mittagspause oder nach Feierabend, dazu täglich ein neues Video mit den Übungen des Tages für alle, die es nicht ins Livetraining geschafft haben, selbstbestimmt ihre Trainingszeit in ihren Tag einbauen oder auch am Wochenende trainieren möchten – das ist das Angebot von Oliver Kroiß. Die Inhalte sind eine Mischung aus Kräftigungsübungen, Stretching und Yoga. Benötigt werden nur etwas Platz, eine Isomatte und ein Terraband. Alltagsgegenstände wie Stuhl oder Tisch werden gelegentlich ins Training eingebaut. So bleibt das Rückentraining abwechslungsreich und macht nach wie vor Spaß. Oliver ist stets gut gelaunt beim Training, motiviert uns und korrigiert bei Bedarf unsere Haltung während den Übungen. Die persönliche Betreuung jedes Einzelnen ist ihm wichtig. Dabei merkt man ihm seine Praxiserfahrung durch verschiedene Jobs als Trainer an. Das Wissen aus seinem Sportstudium gibt er an uns weiter, so dass auch wir einiges Lernen über gesunde Bewegung. Ein guter Ausgleich zu meinem Job, den ich sitzend vorm PC verbringe. Danke Oliver für dein, wie ich finde, einmaliges Angebot. Eine ganz klare Weiterempfehlung an alle, die ihrem Rücken etwas Gutes tun möchten und 5 von 5 Sternen.",
Jacky,35,5,,"Ich war bisher immer ein Trainingsmuffel, aber durch Oli's Online Kurs kann ich endlich flexibel per Aufzeichnung oder Live Kurs trainieren und vor allem Fragen stellen bei Problemen / Hilfestellungen. Das ist bei anderen ""online Kursen"" nicht möglich."" Meine Nacken und Schulterprobleme haben sich stark verbessert und auch meine Körperhaltung ist viel besser geworden.",
Johanna,29,5,Johanna.jpeg,"In meinem Beruf als Kundenbetreuerin arbeite ich fast ausschließlich im Sitzen – klar, dass da sich ab und an der Rücken meldet und einen Warnschuss sendet. Oft habe ich mir vorgenommen mehr ins Fitnessstudio zu gehen und mehr für meinen Rücken zu tun – aber da kommt der innere Schweinehund ins Spiel, der auch nicht so einfach zu überwinden ist. Mit dem Training von Oliver habe ich die perfekte Lösung für mich gefunden. Kurze Trainingseinheiten, die sich wunderbar in den Alltag integrieren lassen mit einer persönlichen, individuellen Betreuung über live-online-Trainings geben mir die Sicherheit, die Übungen auch richtig auszuführen. Vor allem die flexible Buchung der Trainingseinheiten bringt mir einen enormen Vorteil. Wenn man an einem Training nicht teilnehmen kann, kann man auf Videos der Trainings zurückgreifen. Diese Option nutze ich jedoch sehr selten, da das Live-Training mit Oliver einfach so viel Spaß macht. Da kann sich der innere Schweinehund auch nicht mehr durchsetzen :)",
Moni,43,5,,"Während meiner Arbeit sitze ich viel am Laptop und habe danach oft Verspannungen. Durch das Training mit Oliver ist es sehr viel besser geworden. Morgens beim Aufwachen hatte ich beinahe täglich Schmerzen. Diese sind deutlich besser geworden und oft habe ich keine Schmerzen mehr nach dem Aufstehen. Je regelmäßiger ich trainiere, umso besser fühle ich mich. Ich finde es super, dass wir nicht nur Kräftigungsübungen machen, sondern auch Dehnungen. Erst während dem Training habe ich festgestellt (gespürt) wie wichtig für mich die Beweglichkeits- und Dehnungsübungen sind. Am liebsten trainiere ich live. Oliver motiviert mich, mit seiner lockeren sympathischen Art, dranzubleiben. Ich mag die Gruppe und das respektvolle Miteinander! 5 Sterne von mir.",
Anne,30,5,,"Toller Trainer, ich habe das Gefühl eine bessere Beweglichkeit im Rücken zu haben, auch haben die Übungen (seit mehr als drei Monaten) dabei geholfen meine Rückenschmerzen beinahe verschwinden zu lassen. Die täglichen Onlinetrainings sind gut vorbereitet und dauern ca. 20 Minuten. Dort werden auch verschiedene Übungen je nach Trainingslevel angeboten. 5 Sterne und ein großes Dankeschön.",
Nadezda,49,5,,"Mit viel Spaß und Humor merkt man nicht, wie die Zeit bei dem Training vergeht. Die wirkungsvolle Bewegungsimpulse plus gute Laune begleiten mich dann durch den Tag. Sport mit Freude und nicht aus Pflicht ist für mich eine neue Erfahrung. Dazu tolle Gesundheitstipps, eine bewundernswerte Organisation und ansteckende positive Energie. Nicht zu vergessen ist die flexible Nutzung von den Trainingsvideos. Fünf Sterne und absolute Empfehlung.",
